rank,name,team,position,value
1,Josh Allen,BUF,QB,9998
2,Bijan Robinson,ATL,RB,9995
3,Jaxon Smith-Njigba,SEA,WR,9886
4,Ja'Marr Chase,CIN,WR,9878
5,Drake Maye,NEP,QB,9661
6,Puka Nacua,LAR,WR,9538
7,Jahmyr Gibbs,DET,RB,9427
8,Malik Nabers,NYG,WR,7766
9,Trey McBride,ARI,TE,7665
10,Amon-Ra St. Brown,DET,WR,7664
11,Brock Bowers,LVR,TE,7650
12,Caleb Williams,CHI,QB,7629
13,Jayden Daniels,WAS,QB,7580
14,Lamar Jackson,BAL,QB,7532
15,Justin Jefferson,MIN,WR,7380
16,CeeDee Lamb,DAL,WR,7317
17,Ashton Jeanty,LVR,RB,7258
18,Joe Burrow,CIN,QB,7250
19,De'Von Achane,MIA,RB,7088
20,Drake London,ATL,WR,6980
21,Justin Herbert,LAC,QB,6874
22,Jeremiyah Love,FA,RB,6824
23,Tetairoa McMillan,CAR,WR,6656
24,2027 Early 1st,FA,PICK,6643
25,Patrick Mahomes,KCC,QB,6608
26,Jaxson Dart,NYG,QB,6604
27,Omarion Hampton,LAC,RB,6602
28,Jalen Hurts,PHI,QB,6389
29,Trevor Lawrence,JAC,QB,6298
30,Bo Nix,DEN,QB,6189
31,Jonathan Taylor,IND,RB,6180
32,George Pickens,DAL,WR,6167
33,James Cook,BUF,RB,6162
34,Brock Purdy,SFO,QB,6116
35,2026 Early 1st,FA,PICK,5989
36,Nico Collins,HOU,WR,5959
37,Emeka Egbuka,TBB,WR,5937
38,Colston Loveland,CHI,TE,5931
39,TreVeyon Henderson,NEP,RB,5919
40,Garrett Wilson,NYJ,WR,5819
41,Chris Olave,NOS,WR,5782
42,Jordan Love,GBP,QB,5702
43,Fernando Mendoza,FA,QB,5641
44,Tyler Warren,IND,TE,5631
45,Quinshon Judkins,CLE,RB,5554
46,Breece Hall,NYJ,RB,5511
47,Bucky Irving,TBB,RB,5455
48,Ladd McConkey,LAC,WR,5426
49,2027 Mid 1st,FA,PICK,5411
50,Makai Lemon,FA,WR,5336
51,Rome Odunze,CHI,WR,5261
52,Rashee Rice,KCC,WR,5229
53,Carnell Tate,FA,WR,5220
54,Christian McCaffrey,SFO,RB,5107
55,Marvin Harrison Jr.,ARI,WR,5096
56,Cam Ward,TEN,QB,5028
57,Kenneth Walker III,SEA,RB,5000
58,Brian Thomas Jr.,JAC,WR,4996
59,Dak Prescott,DAL,QB,4985
60,Luther Burden,CHI,WR,4977
61,Tucker Kraft,GBP,TE,4904
62,C.J. Stroud,HOU,QB,4893
63,Harold Fannin,CLE,TE,4888
64,Chase Brown,CIN,RB,4886
65,Kyren Williams,LAR,RB,4852
66,Tee Higgins,CIN,WR,4851
67,Cam Skattebo,NYG,RB,4851
68,Sam Darnold,SEA,QB,4825
69,Jordyn Tyson,FA,WR,4821
70,Saquon Barkley,PHI,RB,4796
71,Baker Mayfield,TBB,QB,4794
72,2028 Early 1st,FA,PICK,4785
73,Jameson Williams,DET,WR,4776
74,DeVonta Smith,PHI,WR,4773
75,2027 Late 1st,FA,PICK,4768
76,A.J. Brown,PHI,WR,4711
77,Zay Flowers,BAL,WR,4689
78,2026 Mid 1st,FA,PICK,4678
79,Tyler Shough,NOS,QB,4629
80,Jared Goff,DET,QB,4614
81,Jaylen Waddle,MIA,WR,4600
82,Sam LaPorta,DET,TE,4576
83,RJ Harvey,DEN,RB,4515
84,Kyle Pitts,ATL,TE,4509
85,Javonte Williams,DAL,RB,4501
86,2028 Mid 1st,FA,PICK,4499
87,Travis Etienne,JAC,RB,4482
88,Josh Jacobs,GBP,RB,4472
89,Bryce Young,CAR,QB,4447
90,2026 Late 1st,FA,PICK,4264
91,Oronde Gadsden,LAC,TE,4138
92,Travis Hunter,JAC,WR,4131
93,Jordan Addison,MIN,WR,4106
94,Kenyon Sadiq,FA,TE,4046
95,Daniel Jones,IND,QB,4041
96,2028 Late 1st,FA,PICK,4039
97,Ricky Pearsall,SFO,WR,3956
98,Denzel Boston,FA,WR,3955
99,Derrick Henry,BAL,RB,3908
100,Alec Pierce,IND,WR,3898
